"first run"	"taxaname"	"RMS(data)"	"Coalescent 1D+E"	"Coalescent 2D+E"	"Star 2D+E"	"Fixed 2D+E"		"Coalescent 1D+E"	"Coalescent 2D+E"	"Star 2D+E"	"Fixed 2D+E"
											
"1_100"	"\emph{Staph.~aureus}"	86.9656559875701	1.4180978559544	0.0875498635336234	0.244239747773621	0.0233251269179446		16.1976021288689	1	2.78972162737662	0.26642105397442
	"\emph{Strep.~pyogenes}"	73.710132370624	1.02100981690101	0.0271307152049984	0.321631924799757	0.0660917778760151		37.6329856838018	1	11.8549003360038	2.43604996685966
	"\emph{Strep.~pneumoniae}"	70.5714937194868	1.31750851667246	0.0335775126284666	0.374507383254072	0.0710535797531112		39.2378235770653	1	11.1535177545155	2.11610611361584
	"\emph{B.~cereus}~group"	299.0837	1.5055692650365	0.0396429697667392	0.425910396478477	0.0190200272534793		37.9782159080243	1	10.74365515461	0.479783108212979
	"\emph{Listeria~spp.}"	87.900168781434	0.53759431351951	0.00313507889273024	0.179432097428965	0.0083669791444357		171.477124472404	1	57.2336785032874	2.66882570765202
	"\emph{Staph.~spp.}"	225.255921144024	1.42801623221165	0.0346470961593226	0.343583658242713	0.309572739485879		41.216043781707	1	9.91666535812306	8.93502699511461
	"\emph{Strep.~spp.}"	253.009573535806	1.53827146288658	0.119440278304194	2.24725649230516	0.123335846793807		12.8790009930224	1	18.8148966513775	1.03261519936928
	"``Bacillaceae~1”"	492.097922079589	1.83435296637711	0.0197647328138881	1.78535580321714	0.0300259839459998		92.8093986217799	1	90.3303788636405	1.51916973675968
	"Lactobacillales"	254.317762002861	1.07583330468767	0.0780471322068877	1.92767149891452	0.0783374832590013		13.7844053236427	1	24.6988126841693	1.00372020142065
	"Bacilli"	1425.432	0.863277906089929	0.0647289462402363	2.49654614203416	0.0400199519458534		13.336813840379	1	38.569238139123	0.618269789180911
											
	"Staph_aureus"		123.325810297641	7.6138313138238	21.2404698833716	2.02848496341238		37.8056007959131	1	15.3348984936906	1.27589246806448
	"Strep_pyogenes"		75.2587687554798	1.99980860907013	23.7075317516087	4.87163369585095		47.6549414330696	1	27.6105465072227	2.107598787216
	"Strep_pneumoniae"		92.9785440097206	2.36961522157582	26.4295454452162	5.01435725729374					
	"B_cereus"		450.291226393398	11.8565660768245	127.38285724725	5.68858012507142					
	"Listeria"		47.2546308943041	0.275573963814099	15.7721116488127	0.735458878986636					
	"Staphylococcus"		321.669111795454	7.80446356033378	77.3942534274958	69.7330925939706					
	"Streptococcus"		389.197406807235	30.219533876742	568.577406743701	31.2051499989786					
	"Bacillaceae"		902.681283114708	9.7261839481726	878.56988093589	14.7757243082216					
	"Lactobacillales"		273.60351833631	19.8487719935971	490.241101480641	19.9226134233658					
	"Bacilli"		1230.54395223358	92.2667112971125	3558.65676033204	57.0457201420817					
